strain	date	region	country	division
Australia/VIC05/2020	2020-03-05	Oceania	Australia	Victoria
Australia/VIC1000/2020	2020-03-31	Oceania	Australia	Victoria
Australia/VIC1008/2020	2020-03-31	Oceania	Australia	Victoria
Australia/VIC1018/2020	2020-04-01	Oceania	Australia	Victoria
Australia/VIC102/2020	2020-03-16	Oceania	Australia	Victoria
Australia/VIC1038/2020	2020-04-03	Oceania	Australia	Victoria
Australia/VIC1045/2020	2020-04-03	Oceania	Australia	Victoria
Australia/VIC1048/2020	2020-04-03	Oceania	Australia	Victoria
Australia/VIC1062/2020	2020-04-04	Oceania	Australia	Victoria
Australia/VIC1120/2020	2020-04-08	Oceania	Australia	Victoria
Australia/VIC1135/2020	2020-04-08	Oceania	Australia	Victoria
Australia/VIC1139/2020	2020-04-08	Oceania	Australia	Victoria
Australia/VIC1175/2020	2020-04-10	Oceania	Australia	Victoria
Australia/VIC1186/2020	2020-04-11	Oceania	Australia	Victoria
Australia/VIC1199/2020	2020-03-31	Oceania	Australia	Victoria
Australia/VIC1200/2020	2020-03-31	Oceania	Australia	Victoria
Australia/VIC1208/2020	2020-04-01	Oceania	Australia	Victoria
Australia/VIC1251/2020	2020-04-10	Oceania	Australia	Victoria
Australia/VIC127/2020	2020-03-20	Oceania	Australia	Victoria
Australia/VIC14/2020	2020-02-02	Oceania	Australia	Victoria
Australia/VIC157/2020	2020-03-17	Oceania	Australia	Victoria
Australia/VIC17/2020	2020-03-07	Oceania	Australia	Victoria
Australia/VIC174/2020	2020-03-18	Oceania	Australia	Victoria
Australia/VIC187/2020	2020-03-19	Oceania	Australia	Victoria
Australia/VIC205/2020	2020-03-19	Oceania	Australia	Victoria
Australia/VIC207/2020	2020-03-19	Oceania	Australia	Victoria
Australia/VIC241/2020	2020-03-21	Oceania	Australia	Victoria
Australia/VIC248/2020	2020-03-21	Oceania	Australia	Victoria
Australia/VIC254/2020	2020-03-21	Oceania	Australia	Victoria
Australia/VIC259/2020	2020-03-21	Oceania	Australia	Victoria
Australia/VIC27/2020	2020-03-10	Oceania	Australia	Victoria
Australia/VIC289/2020	2020-03-22	Oceania	Australia	Victoria
Australia/VIC29/2020	2020-03-10	Oceania	Australia	Victoria
Australia/VIC295/2020	2020-03-23	Oceania	Australia	Victoria
Australia/VIC300/2020	2020-03-23	Oceania	Australia	Victoria
Australia/VIC302/2020	2020-03-23	Oceania	Australia	Victoria
Australia/VIC306/2020	2020-03-23	Oceania	Australia	Victoria
Australia/VIC312/2020	2020-03-23	Oceania	Australia	Victoria
Australia/VIC319/2020	2020-03-24	Oceania	Australia	Victoria
Australia/VIC322/2020	2020-03-24	Oceania	Australia	Victoria
Australia/VIC329/2020	2020-03-17	Oceania	Australia	Victoria
Australia/VIC330/2020	2020-03-18	Oceania	Australia	Victoria
Australia/VIC367/2020	2020-03-22	Oceania	Australia	Victoria
Australia/VIC380/2020	2020-03-23	Oceania	Australia	Victoria
Australia/VIC385/2020	2020-03-23	Oceania	Australia	Victoria
Australia/VIC413/2020	2020-03-26	Oceania	Australia	Victoria
Australia/VIC423/2020	2020-03-25	Oceania	Australia	Victoria
Australia/VIC431/2020	2020-03-25	Oceania	Australia	Victoria
Australia/VIC443/2020	2020-03-27	Oceania	Australia	Victoria
Australia/VIC47/2020	2020-03-12	Oceania	Australia	Victoria
Australia/VIC479/2020	2020-03-28	Oceania	Australia	Victoria
Australia/VIC489/2020	2020-03-29	Oceania	Australia	Victoria
Australia/VIC49/2020	2020-03-12	Oceania	Australia	Victoria
Australia/VIC498/2020	2020-03-23	Oceania	Australia	Victoria
Australia/VIC534/2020	2020-03-25	Oceania	Australia	Victoria
Australia/VIC54/2020	2020-03-12	Oceania	Australia	Victoria
Australia/VIC544/2020	2020-03-23	Oceania	Australia	Victoria
Australia/VIC546/2020	2020-03-24	Oceania	Australia	Victoria
Australia/VIC548/2020	2020-03-25	Oceania	Australia	Victoria
Australia/VIC549/2020	2020-03-23	Oceania	Australia	Victoria
Australia/VIC583/2020	2020-03-25	Oceania	Australia	Victoria
Australia/VIC61/2020	2020-03-13	Oceania	Australia	Victoria
Australia/VIC616/2020	2020-03-26	Oceania	Australia	Victoria
Australia/VIC630/2020	2020-03-26	Oceania	Australia	Victoria
Australia/VIC645/2020	2020-03-28	Oceania	Australia	Victoria
Australia/VIC662/2020	2020-03-27	Oceania	Australia	Victoria
Australia/VIC68/2020	2020-03-13	Oceania	Australia	Victoria
Australia/VIC713/2020	2020-03-29	Oceania	Australia	Victoria
Australia/VIC716/2020	2020-03-27	Oceania	Australia	Victoria
Australia/VIC720/2020	2020-03-28	Oceania	Australia	Victoria
Australia/VIC73/2020	2020-03-14	Oceania	Australia	Victoria
Australia/VIC734/2020	2020-03-30	Oceania	Australia	Victoria
Australia/VIC767/2020	2020-03-20	Oceania	Australia	Victoria
Australia/VIC771/2020	2020-03-18	Oceania	Australia	Victoria
Australia/VIC797/2020	2020-04-01	Oceania	Australia	Victoria
Australia/VIC800/2020	2020-04-01	Oceania	Australia	Victoria
Australia/VIC803/2020	2020-04-01	Oceania	Australia	Victoria
Australia/VIC808/2020	2020-03-28	Oceania	Australia	Victoria
Australia/VIC82/2020	2020-03-14	Oceania	Australia	Victoria
Australia/VIC824/2020	2020-04-03	Oceania	Australia	Victoria
Australia/VIC851/2020	2020-04-04	Oceania	Australia	Victoria
Australia/VIC92/2020	2020-03-15	Oceania	Australia	Victoria
Australia/VIC920/2020	2020-03-27	Oceania	Australia	Victoria
Australia/VIC927/2020	2020-03-30	Oceania	Australia	Victoria
Australia/VIC96/2020	2020-03-16	Oceania	Australia	Victoria
Australia/VIC962/2020	2020-03-27	Oceania	Australia	Victoria
Australia/VIC969/2020	2020-03-27	Oceania	Australia	Victoria
Australia/VIC970/2020	2020-03-27	Oceania	Australia	Victoria
Australia/VIC975/2020	2020-03-28	Oceania	Australia	Victoria
Australia/VIC985/2020	2020-03-30	Oceania	Australia	Victoria
Australia/VIC987/2020	2020-03-30	Oceania	Australia	Victoria
